dna_library_id	ploidy	depth1	depth2	depth3	depth4	numOverlaps	meanOverlapSize	meanFragSize	numReads	sampleSize	nr_bins
VZA02704D_C10	2	0.004981923378009238	7.401333272904813e-6	0	0	196	91.52600032792749	166.87025139664806	157520	72724.46645480255	242711
VZA02704D_C10	3	0.004986428571428571	8.726022803487593e-6	0	0	15.85	82.08728440784361	166.69074971777675	15059	4472.353752455983	14910
VZA02704D_C11	2	0.004983723011460536	7.434340678081725e-6	0	0	200.65	86.85226302821273	163.88893385582722	101309	71555.77697708618	234544
VZA02704D_C11	3	0.004988625687914374	8.77627074576418e-6	0	0	21.75	93.24857183364563	164.94016645913888	15259	6995.567088177074	23077
VZA02704D_C13	2	0.004985981273276237	6.814518497632726e-6	1.1748258320703957e-10	0	189.9	91.6823543747987	171.55319158944448	212590	74425.0216606614	255357
VZA02704D_C13	3	0.0049684186211798155	7.738095238095238e-6	0	0	2.5	76.97833333333334	171.65839375348577	3586	819.651150890155	2814
VZA02704D_C14	2	0.0049853734439033424	6.775995400205293e-6	1.7364996797122812e-10	0	199.65	88.03069216922317	165.25298387408853	361778	78407.66137011132	259142
VZA02704D_C15	1	0.004984404996712689	0	0	0	0	0	179.44729605866178	1091	423.80131476118237	1521
VZA02704D_C15	2	0.004983073161084582	7.285495919014795e-6	1.8746575144925446e-9	0	173.2	102.06107849256937	182.49283990437957	349716	66498.77335658013	242711
VZA02704D_C15	3	0.004978657612340711	9.319248826291079e-6	0	0	14.05	100.09337152097989	182.96905158069885	33055	4074.4595523642192	14910
VZA02704D_C16	1	0.00494629191321499	2.1137409598948063e-6	0	0	0.35	23.25	169.55666364460563	1103	448.52262580138057	1521
VZA02704D_C16	2	0.004985358677604229	6.712200930324542e-6	0	0	182.15	89.59290405172254	167.3400133192402	327346	72520.31214344774	242711
VZA02704D_C16	3	0.0049863983903420525	7.43158953722334e-6	0	0	12.85	85.58241606690522	164.1483617300131	30520	4541.623152024988	14910
VZA02704D_C17	2	0.00498634148459146	7.125166896913662e-6	3.2221716279105665e-9	0	207.25	89.19667535158479	164.927680267032	464963	78562.31276048598	259142
VZA02704D_C18	1	0.0049982840236686395	8.185404339250492e-7	0	0	0.15	12.45	178.29890453834116	1278	426.5309436247619	1521
VZA02704D_C18	2	0.004981460090395573	6.801999085331938e-6	0	0	177.7	92.96175754801894	170.44773910580145	409484	71198.06964683258	242711
VZA02704D_C18	3	0.004966748490945674	9.53588195841717e-6	4.862508383635144e-8	0	15.95	89.13397100341179	171.16069907323748	38737	4355.555942670052	14910
VZA02704D_C19	1	0.004957399737015121	2.613412228796844e-6	0	0	0.15	39.75	165.07698744769874	1195	460.69413535969016	1521
VZA02704D_C19	2	0.004983491765927378	7.5942581918413256e-6	4.202528933587683e-9	0	205.85	89.66301345202149	160.81856513184013	345077	75461.12595925225	242711
VZA02704D_C19	3	0.004978147551978538	8.916163648558015e-6	0	0	16	83.26939501868101	160.6342701498081	32308	4640.97729148795	14910
VZA02704D_C20	1	0.005012554240631164	0	0	0	0	0	170.13345356176737	1109	447.0020352134324	1521
VZA02704D_C20	2	0.0049842281767204615	6.840295660270857e-6	1.5656480340816857e-9	0	186.45	89.00904932605022	163.90085389124934	363161	74042.0181584418	242711
VZA02704D_C20	3	0.004977529845741113	8.403085177733065e-6	0	0	14.4	87.08928584788104	163.97342898134863	34850	4546.468318868893	14910
VZA02704D_C21	2	0.004985413113273804	7.425542752622115e-6	0	0	189.3	101.53520810399145	186.67018216682646	351491	69411.72848066482	259142
VZA02704D_C22	1	0.004992057856673241	7.560815253122945e-7	0	0	0.25	11.5	178.69904761904763	1050	425.57585512220595	1521
VZA02704D_C22	2	0.004984283686829902	7.038329521878036e-6	0	0	180.25	92.02596382971177	173.36583697374107	333296	67975.6185284934	235693
VZA02704D_C22	3	0.00497195822692448	1.0547701568770522e-5	1.2085005472455308e-8	0	24.35	94.80928825673617	174.4628762541806	47840	6284.431528015275	21928
VZA02704D_C23	1	0.004992748191978961	0	0	0	0	0	179.76552795031057	644	423.0510758493206	1521
